,corr,train_seed,gen,n_eval,acc,score
0,0.6,0,0,2000,0.05,2.14388699954471
1,0.6,0,1,7000,0.1,0.6124418713353661
2,0.6,0,2,12000,0.1,0.6124418713353661
3,0.6,0,3,14000,0.05,0.4124543842973891
4,0.6,0,4,16000,0.05,1.2837796950767373
5,0.6,0,5,18000,0.05,1.2837796950767373
6,0.6,0,6,23000,0.1,0.44731597381684307
7,0.6,0,7,28000,0.1,0.5551501134447623
8,0.6,0,8,33000,0.1,0.5551501134447623
9,0.6,0,9,35000,0.05,0.5374526403550238
10,0.6,0,10,37000,0.05,0.5374526403550238
11,0.6,0,11,39000,0.05,0.5374526403550238
12,0.6,0,12,41000,0.05,0.5374526403550238
13,0.6,0,13,43000,0.05,0.5374526403550238
14,0.6,0,14,45000,0.05,0.5374526403550238
15,0.6,0,15,47000,0.05,0.5374526403550238
16,0.6,0,16,49000,0.05,0.5374526403550238
17,0.6,0,17,51000,0.05,0.5374526403550238
18,0.6,0,18,53000,0.05,0.5374526403550238
19,0.6,0,19,55000,0.05,0.5374526403550238
20,0.6,0,20,57000,0.05,0.5374526403550238
21,0.6,0,21,59000,0.05,0.5374526403550238
22,0.6,0,22,61000,0.05,0.5374526403550238
23,0.6,0,23,63000,0.05,0.5374526403550238
24,0.6,0,24,65000,0.05,0.5374526403550238
25,0.6,0,25,67000,0.05,0.5374526403550238
26,0.6,0,26,69000,0.05,0.5374526403550238
27,0.6,0,27,71000,0.05,0.5374526403550238
28,0.6,0,28,73000,0.05,0.5374526403550238
29,0.6,0,29,75000,0.05,0.5374526403550238
30,0.6,0,30,77000,0.05,0.5374526403550238
31,0.6,0,31,79000,0.05,0.5374526403550238
32,0.6,0,32,81000,0.05,0.5374526403550238
33,0.6,0,33,83000,0.05,0.5374526403550238
34,0.6,0,34,85000,0.05,0.5374526403550238
35,0.6,0,35,87000,0.05,0.5374526403550238
36,0.6,0,36,89000,0.05,0.7555794396509543
37,0.6,0,37,91000,0.05,0.7555794396509543
38,0.6,0,38,96000,0.1,0.5196447188956185
